,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,label
0,Breakdown,Tom Petty & The Heartbreakers,Tom Petty and the Heartbreakers,5x53pbGk6sbl1BGom19QQ5,1976-11-09,62,163893,0.625,0.398,0.35,6.76e-05,0.123,0.69,-8.395,0.0436,113.688,9,4,like
1,Tenth Avenue Freeze-Out,Born To Run,Bruce Springsteen,4Gmdm6oRVwJgsM8gYnwRoE,1975-08-25,57,190466,0.702,0.482,0.777,0.0,0.0789,0.918,-4.446,0.0347,116.819,2,4,like
2,Stop Draggin' My Heart Around (with Tom Petty & The Heartbreakers),Bella Donna,Stevie Nicks,15t8oEqZExdyesPVVKcxTd,1981,0,242760,0.629,0.313,0.587,0.00258,0.125,0.634,-7.228,0.026,107.068,4,4,like
3,Blinded By The Light,"Greetings from Asbury Park, N.J.",Bruce Springsteen,1VyDQtfhX6gqhWTGU7Oe8X,1973-01-05,46,304440,0.498,0.23,0.831,0.0,0.362,0.771,-6.973,0.189,127.61,4,4,like
4,"Paint It, Black - (Original Single Mono Version)",Singles 1965-1967,The Rolling Stones,7lY8aoN3wUR3NY4nUwigPv,2004-07-12,51,224133,0.496,0.0135,0.859,0.065,0.349,0.768,-7.927,0.0934,159.694,5,4,like
5,Hurdy Gurdy Man,The Hurdy Gurdy Man,Donovan,7AL6qzIDHIX7pEUWrzNiIs,1968-10,52,193466,0.405,0.00379,0.463,0.0442,0.392,0.542,-16.167,0.0542,79.451,0,4,like
6,The Times They Are A-Changin',The Times They Are A-Changin',Bob Dylan,52vA3CYKZqZVdQnzRrdZt6,1964-01-13,63,192053,0.389,0.887,0.396,0.0,0.0828,0.585,-7.999,0.0332,171.86,7,3,like
7,Crucify Your Mind,Cold Fact,Rodríguez,2Xn7NadvZ56D0B2D7x2CSL,1970-03-05,61,152346,0.505,0.217,0.561,0.0,0.0952,0.55,-7.772,0.0803,85.102,9,4,like
8,All Along the Watchtower,Electric Ladyland,Jimi Hendrix,2aoo2jlRnM3A0NyLQqMN2f,1968-10-25,75,240800,0.438,0.00255,0.805,5.69e-05,0.0842,0.564,-6.237,0.0624,113.253,8,4,like
9,For What It's Worth,Buffalo Springfield,Buffalo Springfield,1qRA5BS78u3gME0loMl9AA,1966-12-05,78,153693,0.653,0.406,0.519,0.0209,0.101,0.822,-10.164,0.0497,98.883,2,4,like
10,Saturday in the Park - 2002 Remaster,Chicago V (Expanded & Remastered),Chicago,4OJFkrRQqol4FsPesF8eu4,1972-07-10,63,235666,0.67,0.155,0.763,0.0,0.0799,0.61,-6.864,0.0341,114.398,7,4,like
11,"Lullabye (Goodnight, My Angel)",River Of Dreams,Billy Joel,4cURHmiuYii52BVbhrGbv0,1993-08-10,53,214400,0.442,0.948,0.157,0.0,0.224,0.22,-13.791,0.0324,76.48,7,4,like
12,Fortunate Son,Forrest Gump - The Soundtrack,Various Artists,6bUX60W69H8TPInBDZAbEr,2001-10-02,0,138066,0.645,0.14,0.686,0.0095,0.291,0.65,-7.242,0.0442,132.562,0,4,like
13,Sweet Emotion,Toys In The Attic,Aerosmith,24NwBd5vZ2CK8VOQVnqdxr,1975-04-08,4,274133,0.38,0.00298,0.76,0.0294,0.104,0.491,-10.961,0.0378,99.437,9,4,like
14,Sweet Child O' Mine,Greatest Hits,Guns N' Roses,1u1DBObkLFscNCpRpXbYb9,2004-03-23,0,355266,0.45,0.138,0.941,0.123,0.108,0.662,-4.725,0.0489,125.138,6,4,like
15,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,0ofHAoxe9vBkTCp2UQIavz,1977-02-04,86,257800,0.828,0.0644,0.492,0.00428,0.128,0.789,-9.744,0.0276,120.151,0,4,like
16,Drift Away,His Very Best,Dobie Gray,3DEUviTtgRz6r3MdrUx0OL,2008-04-21,0,233706,0.516,0.51,0.318,0.0,0.125,0.525,-14.061,0.0514,76.199,11,4,like
17,Moonage Daydream - 2012 Remastered Version,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version),David Bowie,3ziCNz5vq8pEeRZjPElfYR,1972-06-06,0,280530,0.556,0.0408,0.61,0.000266,0.0474,0.736,-11.227,0.035,144.092,11,4,like
18,Take on Me,Hunting High and Low,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,1985-06-01,87,225280,0.573,0.018,0.902,0.00125,0.0928,0.876,-7.638,0.054,84.412,6,4,like
19,Rich Girl,The Essential Daryl Hall & John Oates,Daryl Hall & John Oates,5E3P9e1hvjyIOlFyqNB5eD,2005-04-25,64,144333,0.598,0.5,0.643,0.0,0.0435,0.823,-6.303,0.134,167.971,5,4,like
20,Go Your Own Way,Rumours,Fleetwood Mac,0FeCO85RKW8fDRytwXof2x,1977-02-04,0,218400,0.597,0.0219,0.812,0.00106,0.102,0.823,-12.062,0.0315,135.68,5,4,like
21,My Girl,Motown: The Complete No. 1's,Various Artists,2wz9T22pzkpKNuaWLBnY28,2008-01-01,0,178120,0.604,0.536,0.548,0.0,0.594,0.577,-5.607,0.0703,105.003,0,4,like
22,Play That Funky Music,Shaun White Snowboarding: Official Soundtrack,Various Artists,0D7L4pBEGv8ni1cRfaTdMJ,2008-11-18,47,301800,0.822,0.124,0.871,0.0,0.045,0.901,-6.257,0.059,109.174,9,4,like
23,American Girl,Tom Petty & The Heartbreakers,Tom Petty and the Heartbreakers,7MRyJPksH3G2cXHN8UKYzP,1976-11-09,72,214733,0.55,0.448,0.824,0.000127,0.366,0.777,-5.988,0.0334,114.512,2,4,like
24,Maria Maria (feat. The Product G&B),Supernatural (Remastered),Santana,3XKIUb7HzIF1Vu9usunMzc,1999-06-15,74,261973,0.777,0.0406,0.601,0.00201,0.0348,0.68,-5.931,0.126,97.911,2,4,like
25,Piano Man,Piano Man (Legacy Edition),Billy Joel,70C4NyhjD5OZUMzvWZ3njJ,1973-11-07,76,339000,0.331,0.605,0.55,3.96e-06,0.192,0.429,-6.483,0.0272,177.734,0,3,like
26,Levon,The Greatest Hits 1970-2002,Elton John,6nDFmnzQ0GLszYC8uosQNu,2002-01-01,0,324506,0.315,0.148,0.68,2.69e-05,0.183,0.385,-8.314,0.0507,144.278,5,4,like
27,Blackbird - Live / Remastered,Wings Over America (Remastered),Paul McCartney,2wHxHqgVb3AmaDJjzlZu5b,1976-12-10,0,147413,0.578,0.869,0.306,3.66e-05,0.887,0.464,-15.654,0.0375,88.132,5,4,like
28,Lights,Infinity,Journey,7EHmKkyAr6MZv5Y2FdZbXw,1978,63,190333,0.193,0.107,0.498,0.00711,0.332,0.344,-9.901,0.0381,205.422,7,3,like
29,Reptilia,Room On Fire,The Strokes,57Xjny5yNzAcsxnusKmAfA,2003-10-28,79,219826,0.489,0.000603,0.649,0.713,0.101,0.77,-5.11,0.0336,158.009,9,4,like
30,Even Flow,Ten,Pearl Jam,6QewNVIDKdSl8Y3ycuHIei,1991-08-27,78,292580,0.394,0.00178,0.944,4.54e-06,0.298,0.265,-6.506,0.0761,105.338,10,4,like
31,Lithium,Nevermind (Remastered),Nirvana,2YodwKJnbPyNKe8XXSE9V7,1991-09-26,70,257053,0.678,0.00174,0.656,0.0,0.0631,0.485,-6.41,0.0381,123.207,7,4,like
32,"Black, Red, Yellow",Lost Dogs,Pearl Jam,3UcTTEGzot8T7rrh5a7rwX,2003-11-10,22,204600,0.481,0.000743,0.942,0.000688,0.189,0.671,-4.74,0.0662,139.889,9,4,like
33,"Tonight, Tonight - Remastered 2012",Mellon Collie And The Infinite Sadness (Remastered),The Smashing Pumpkins,4iCGSi1RonREsPtfEKYj5b,1995-12-12,55,254626,0.277,6.28e-05,0.67,0.751,0.237,0.217,-9.381,0.0376,148.342,6,4,like
34,Lake Of Fire - Live,MTV Unplugged In New York,Nirvana,4UJmPSJsBsIR1U0N79BU1g,1994-11-01,66,175973,0.541,0.277,0.618,4.02e-05,0.413,0.68,-9.652,0.179,145.464,1,4,like
35,Saint Cecilia,Saint Cecilia EP,Foo Fighters,7bdUH0npz854dv3plG8ieT,2015-11-23,52,221666,0.235,0.000457,0.869,0.000987,0.459,0.513,-4.284,0.0609,146.654,4,4,like
36,Last Kiss,Last Kiss,Pearl Jam,0QnONzv3TvHAWk294h6DaQ,1999,71,195466,0.622,0.363,0.692,0.000158,0.193,0.774,-6.97,0.0276,112.053,7,4,like
37,Black Hole Sun,Superunknown (Deluxe Edition),Soundgarden,2EoOZnxNgtmZaD8uUmz2nD,1994-03-09,78,318586,0.35,0.000217,0.828,0.000161,0.0774,0.147,-5.373,0.041,105.435,6,4,like
38,Yellow Ledbetter,Jeremy,Pearl Jam,3bE5slaVEfaDreqARl6k4M,1991,68,303586,0.504,0.29,0.354,4.71e-06,0.157,0.292,-11.3,0.0339,140.87,4,4,like
39,Smells Like Teen Spirit,Nevermind (Remastered),Nirvana,5ghIJDpPoe3CfHMGu71E6T,1991-09-26,77,301920,0.502,2.55e-05,0.912,0.000173,0.106,0.72,-4.556,0.0564,116.761,1,4,like
40,Oil and Water,The Essential Incubus,Incubus,4YK5MCLnSxbFbiVNkPsmTT,2012-10-30,19,229986,0.588,0.15,0.779,0.000119,0.161,0.274,-5.096,0.0341,130.241,0,4,like
41,"Promises, Promises",The Essential Incubus,Incubus,3gdPNldUcttIdInea7Xchq,2012-10-30,19,267080,0.571,0.0196,0.765,0.0,0.193,0.797,-6.544,0.0255,143.93,0,4,like
42,Doesn't Remind Me,Out of Exile,Audioslave,0o995gJCGebaza0LWybToU,2005-01-01,60,255000,0.457,0.169,0.768,0.0,0.103,0.232,-3.592,0.0378,99.739,9,4,like
43,Anna Molly,Light Grenades,Incubus,0uLhNT7UIH3nZCCDZd3OBl,2006-11-28,60,225880,0.451,0.00428,0.973,7.36e-06,0.0924,0.628,-2.611,0.0514,151.885,8,4,like
44,Spoonman,Superunknown (20th Anniversary),Soundgarden,1jMaB19DiVR8OihLSuYFOt,1994-03-09,66,246920,0.457,2.17e-05,0.902,0.196,0.258,0.834,-5.624,0.0313,92.711,7,4,like
45,Cut Me Some Slack,Sound City - Real to Reel,Sound City - Real to Reel,1zCtzRratZnh6aKQLguPxm,2013-03-08,35,278053,0.304,1.42e-05,0.927,0.00428,0.106,0.619,-4.236,0.0477,165.994,2,4,like
46,Can't Stop,By the Way,Red Hot Chili Peppers,4BcS4LomxUnQpzx4hCaJTs,2002-07-09,54,269000,0.62,0.0201,0.934,0.0,0.19,0.887,-3.427,0.0411,91.234,4,4,like
47,Like a Stone,Audioslave,Audioslave,3YuaBvuZqcwN3CEAyyoaei,2002-11-17,79,293960,0.614,0.00797,0.568,0.0,0.0997,0.516,-5.477,0.0276,107.849,7,4,like
